time;realDistance;rssi
1706889773882;100;-84
1706889774889;100;-84
1706889775891;100;-85
1706889776894;100;-85
1706889777896;100;-84
1706889778898;100;-84
1706889779901;100;-84
1706889780903;100;-77
1706889781904;100;-85
1706889782907;100;-85
1706889783909;100;-80
1706889784912;100;-85
1706889785914;100;-84
1706889786915;100;-84
1706889787917;100;-85
1706889788919;100;-85
1706889789921;100;-85
1706889790923;100;-85
1706889791925;100;-85
1706889792926;100;-79
1706889793927;100;-83
1706889794932;100;-86
1706889795936;100;-86
1706889796940;100;-84
1706889797944;100;-85
1706889798976;100;-85
1706889799986;100;-85
1706889800992;100;-85
1706889801997;100;-85
1706889802999;100;-85
1706889804002;100;-85
1706889805004;100;-85
1706889806007;100;-80
1706889807011;100;-85
1706889808014;100;-86
1706889809018;100;-83
1706889810022;100;-83
1706889811026;100;-85
1706889812029;100;-79
1706889813032;100;-85
1706889814035;100;-84
1706889815040;100;-87
1706889816050;100;-85
1706889817060;100;-84
1706889818063;100;-85
1706889819068;100;-86
1706889820071;100;-86
1706889821074;100;-86
1706889822076;100;-85
1706889823081;100;-83
1706889824085;100;-87
1706889825088;100;-78
1706889826099;100;-85
1706889827103;100;-85
1706889828105;100;-86
1706889829112;100;-84
1706889830117;100;-84
1706889831120;100;-86
1706889832126;100;-81
1706889833128;100;-85
1706889834138;100;-84
1706889835140;100;-79
1706889836143;100;-79
1706889837146;100;-79
1706889838152;100;-85
1706889839158;100;-79
1706889840165;100;-80
1706889841167;100;-85
1706889842170;100;-81
1706889843172;100;-80
1706889844177;100;-80
1706889845180;100;-88
1706889846183;100;-85
1706889847187;100;-85
1706889848189;100;-84
1706889849191;100;-84
1706889850194;100;-80
1706889851198;100;-85
1706889852200;100;-82
1706889853202;100;-82
1706889854205;100;-83
1706889855209;100;-84
1706889856211;100;-86
1706889857216;100;-84
1706889858219;100;-80
1706889859221;100;-81
1706889860223;100;-87
1706889861226;100;-91
1706889862229;100;-82
1706889863232;100;-84
1706889864235;100;-89
1706889865239;100;-89
1706889866242;100;-88
